,word,line_me
135,Ἀτρεΐδης,0.2044113857844366
136,Νέστωρ,0.2044113857844366
137,Πυλίων,0.1877384051848532
138,Πύλῳ,0.1768176887967108
139,Ἀχαιΐδα,0.33298351844354
140,Πρίαμος,0.1477638749245026
141,Πριάμοιό,0.1477638749245026
142,Τρῶες,0.01112063642358
143,Δαναῶν,0.0357896558881899
144,Πειρίθοόν,0.0900869087432866
145,Δρύαντά,0.0900869087432866
146,Καινέα,0.1930512938328317
147,Ἐξάδιόν,0.1930512938328317
148,Πολύφημον,0.1930512938328317
149,Θησέα,0.1363287568133666
150,Αἰγεΐδην,0.1363287568133666
151,Πύλου,0.0414732050531656
152,Ἀχαιῶν,0.0648762542128833
153,Πηλείδη,0.1477808157837872
154,Ζεύς,0.2138089915859481
155,Ἀτρεΐδη,0.103919006417325
156,Ἀχιλλῆϊ,0.0564583987175812
157,Ἀχαιοῖσιν,0.0683393118207441
158,Ἀγαμέμνων,17.41967557449457
159,Ἀχιλλεύς,1.70716070887992
160,Ἀχαιῶν,0.1428364909345869
161,Πηλεΐδης,0.0668183865707933
162,Μενοιτιάδῃ,0.0227964046868802
163,Ἀτρεΐδης,0.1866031458046891
164,Χρυσηΐδα,0.0605982412829853
165,Ὀδυσσεύς,0.2299461560266645
166,Ἀτρεΐδης,0.0572717687327707
167,Ἀπόλλωνι,0.1382884658073277
168,Ἀγαμέμνων,0.1704762580024113
169,Ἀχιλῆϊ,0.083064296318041
170,Ταλθύβιόν,0.3955397408509042
171,Εὐρυβάτην,0.3955397408509042
172,Πηληϊάδεω,0.8358360359108566
173,Ἀχιλῆος,0.8358360359108566
174,Βρισηΐδα,0.3395033170128483
175,Μυρμιδόνων,0.2309280483709204
176,Ἀχιλλεύς,0.1805952001603565
177,Διός,0.1895122178722496
178,Ἀγαμέμνων,0.1507922882211374
179,Βρισηΐδος,0.1178964692187007
180,Πατρόκλεες,0.601568752168538
181,Ἀχαιοί,0.1378924935763385
182,Πάτροκλος,0.9283073468884177
183,Βρισηΐδα,0.3958546618224093
184,Ἀχαιῶν,0.1833520055601266
185,Ἀχιλλεύς,0.0961932739524691
186,Ὀλύμπιος,0.1199341940051157
187,Ζεύς,0.1061213449369746
