Column1,text,book,line,string,foot1,foot2,foot3,foot4,foot5,foot6,me
21864,odyssey,12,425,ἑζόμενος δ ἐπὶ τοῖς φερόμην ὀλοοῖς ἀνέμοισιν,D,D,D,D,D,A,0.405440622
6985,iliad,11,724,ἔνθεν πανσυδίῃ σὺν τεύχεσι θωρηχθέντες,S,D,S,D,S,A,0.405436742
319,iliad,1,320,ἀλλ ὅ γε Ταλθύβιόν τε καὶ Εὐρυβάτην προσέειπε,D,D,D,D,D,A,0.405362778
17985,odyssey,5,82,ἀλλ ὅ γ ἐπ ἀκτῆς κλαῖε καθήμενος ἔνθα πάρος περ,D,S,D,D,D,A,0.405300644
1867,iliad,3,380,ἔγχεϊ χαλκείῳ τὸν δ ἐξήρπαξ Ἀφροδίτη,D,S,S,S,D,A,0.405229567
11618,iliad,18,307,φεύξομαι ἐκ πολέμοιο δυσηχέος ἀλλὰ μάλ ἄντην,D,D,D,D,D,A,0.405131762
5188,iliad,9,215,αὐτὰρ ἐπεί ῥ ὤπτησε καὶ εἰν ἐλεοῖσιν ἔχευε,D,S,D,D,D,A,0.40512846
13641,iliad,22,176,Πηλεΐδῃ Ἀχιλῆϊ δαμάσσομεν ἐσθλὸν ἐόντα,D,D,D,D,D,A,0.405062074
15028,iliad,24,151,νεκρὸν ἄγοι προτὶ ἄστυ τὸν ἔκτανε δῖος Ἀχιλλεύς,D,D,D,D,D,A,0.404973257
15057,iliad,24,180,νεκρὸν ἄγοι προτὶ ἄστυ τὸν ἔκτανε δῖος Ἀχιλλεύς,D,D,D,D,D,A,0.404973257
5579,iliad,9,606,ἐν στήθεσσι μένῃ καί μοι φίλα γούνατ ὀρώρῃ,S,D,S,D,D,A,0.404964248
5772,iliad,10,90,ἐν στήθεσσι μένῃ καί μοι φίλα γούνατ ὀρώρῃ,S,D,S,D,D,A,0.404964248
25322,odyssey,19,386,ὣς ἄρ ἔφη γρηῢς δὲ λέβηθ ἕλε παμφανόωντα,D,S,D,D,D,A,0.404948671
7822,iliad,13,243,χειρὶ λαβὼν ἐτίναξεν ἀπ αἰγλήεντος Ὀλύμπου,D,D,D,S,D,A,0.404823521
7721,iliad,13,142,ἰσόπεδον τότε δ οὔ τι κυλίνδεται ἐσσύμενός περ,D,D,D,D,D,A,0.404820969
18394,odyssey,5,491,ὣς Ὀδυσεὺς φύλλοισι καλύψατο τῷ δ ἄρ Ἀθήνη,D,S,D,D,D,A,0.404522032
27410,odyssey,24,170,οὐδέ τις ἡμείων δύνατο κρατεροῖο βιοῖο,D,S,D,D,D,A,0.404499451
1384,iliad,2,774,δίσκοισιν τέρποντο καὶ αἰγανέῃσιν ἱέντες,S,S,D,D,D,A,0.404304292
17682,odyssey,4,626,δίσκοισιν τέρποντο καὶ αἰγανέῃσιν ἱέντες,S,S,D,D,D,A,0.404304292
24070,odyssey,17,168,δίσκοισιν τέρποντο καὶ αἰγανέῃσιν ἱέντες,S,S,D,D,D,A,0.404304292
5392,iliad,9,419,Ἰλίου αἰπεινῆς μάλα γάρ ἑθεν εὐρύοπα Ζεὺς,D,S,D,D,D,A,0.404227824
5655,iliad,9,682,Ἰλίου αἰπεινῆς μάλα γάρ ἑθεν εὐρύοπα Ζεὺς,D,S,D,D,D,A,0.404227824
27488,odyssey,24,248,ἄλλο δέ τοι ἐρέω σὺ δὲ μὴ χόλον ἔνθεο θυμῷ,D,D,D,D,D,A,0.404135493
20746,odyssey,10,520,πολλὰ δὲ γουνοῦσθαι νεκύων ἀμενηνὰ κάρηνα,D,S,D,D,D,A,0.404107206
20828,odyssey,11,29,πολλὰ δὲ γουνούμην νεκύων ἀμενηνὰ κάρηνα,D,S,D,D,D,A,0.404107206
19861,odyssey,9,201,Φοίβου Ἀπόλλωνος ὁ δέ μοι πόρεν ἀγλαὰ δῶρα,D,S,D,D,D,A,0.40409369
367,iliad,1,368,καὶ τὰ μὲν εὖ δάσσαντο μετὰ σφίσιν υἷες Ἀχαιῶν,D,S,D,D,D,A,0.403780893
8704,iliad,14,288,ἔνθ ἧστ ὄζοισιν πεπυκασμένος εἰλατίνοισιν,S,S,D,D,D,A,0.403754237
14452,iliad,23,472,Τυδέος ἱπποδάμου υἱὸς κρατερὸς Διομήδης,D,D,S,D,D,A,0.403713196
4742,iliad,8,330,Αἴας δ οὐκ ἀμέλησε κασιγνήτοιο πεσόντος,S,D,D,S,D,A,0.403697794
19378,odyssey,8,304,ἔστη δ ἐν προθύροισι χόλος δέ μιν ἄγριος ᾕρει,S,D,D,D,D,A,0.40367794
8843,iliad,14,427,ἀσπίδας εὐκύκλους σχέθον αὐτοῦ τὸν δ ἄρ ἑταῖροι,D,S,D,S,D,A,0.403517766
15926,odyssey,1,245,ὅσσοι γὰρ νήσοισιν ἐπικρατέουσιν ἄριστοι,S,S,D,D,D,A,0.403517727
23543,odyssey,16,121,ὅσσοι γὰρ νήσοισιν ἐπικρατέουσιν ἄριστοι,S,S,D,D,D,A,0.403517727
25066,odyssey,19,130,ὅσσοι γὰρ νήσοισιν ἐπικρατέουσιν ἄριστοι,S,S,D,D,D,A,0.403517727
20854,odyssey,11,55,τὸν μὲν ἐγὼ δάκρυσα ἰδὼν ἐλέησά τε θυμῷ,D,S,D,D,D,A,0.403432813
21194,odyssey,11,395,τὸν μὲν ἐγὼ δάκρυσα ἰδὼν ἐλέησά τε θυμῷ,D,S,D,D,D,A,0.403432813
23478,odyssey,16,56,δὴ τότε Τηλέμαχος προσεφώνεε δῖον ὑφορβόν,D,D,D,D,D,A,0.403397997
12794,iliad,20,443,σμερδαλέα ἰάχων τὸν δ ἐξήρπαξεν Ἀπόλλων,D,D,S,S,D,A,0.403347864
3619,iliad,6,218,οἳ δὲ καὶ ἀλλήλοισι πόρον ξεινήϊα καλά,D,S,D,S,D,A,0.403200285
7395,iliad,12,287,ὣς τῶν ἀμφοτέρωσε λίθοι πωτῶντο θαμειαί,S,D,D,S,D,A,0.403166272
20750,odyssey,10,524,παμμέλαν ὃς μήλοισι μεταπρέπει ὑμετέροισιν,D,S,D,D,D,A,0.402980104
14822,iliad,23,842,τὸ τρίτον αὖτ ἔρριψε μέγας Τελαμώνιος Αἴας,D,S,D,D,D,A,0.402891878
441,iliad,1,442,ὦ Χρύση πρό μ ἔπεμψεν ἄναξ ἀνδρῶν Ἀγαμέμνων,S,D,D,S,D,A,0.40277539
7502,iliad,12,394,ἀλλ ὅ γε Θεστορίδην Ἀλκμάονα δουρὶ τυχήσας,D,D,S,D,D,A,0.402764259
26260,odyssey,21,326,μνῶνται οὐδέ τι τόξον ἐΰξοον ἐντανύουσιν,S,D,D,D,D,A,0.402741149
22655,odyssey,14,323,καί μοι κτήματ ἔδειξεν ὅσα ξυναγείρατ Ὀδυσσεύς,S,D,D,D,D,A,0.402715968
25229,odyssey,19,293,καί μοι κτήματ ἔδειξεν ὅσα ξυναγείρατ Ὀδυσσεύς,S,D,D,D,D,A,0.402715968
12995,iliad,21,141,υἱέϊ Πηλεγόνος τὸν δ Ἀξιὸς εὐρυρέεθρος,D,D,S,D,S,A,0.402713157
1530,iliad,3,43,ἦ που καγχαλόωσι κάρη κομόωντες Ἀχαιοὶ,S,D,D,D,D,A,0.402686519
15177,iliad,24,300,‘ὦ γύναι οὐ μέν τοι τόδ ἐφιεμένῃ ἀπιθήσω,D,S,D,D,D,A,0.402645899
14218,iliad,23,238,πᾶσαν ὁπόσσον ἐπέσχε πυρὸς μένος αὐτὰρ ἔπειτα,D,D,D,D,D,A,0.402468937
15669,iliad,24,792,πᾶσαν ὁπόσσον ἐπέσχε πυρὸς μένος αὐτὰρ ἔπειτα,D,D,D,D,D,A,0.402468937
7738,iliad,13,159,Μηριόνης δ αὐτοῖο τιτύσκετο δουρὶ φαεινῷ,D,S,D,D,D,A,0.402455584
12501,iliad,20,150,ἀμφὶ δ ἄρ ἄρρηκτον νεφέλην ὤμοισιν ἕσαντο,D,S,D,S,D,A,0.402454287
924,iliad,2,314,ἔνθ ὅ γε τοὺς ἐλεεινὰ κατήσθιε τετριγῶτας,D,D,D,S,D,A,0.402192731
1847,iliad,3,360,ἔγχος ὃ δ ἐκλίνθη καὶ ἀλεύατο κῆρα μέλαιναν,D,S,D,D,D,A,0.402092694
4184,iliad,7,254,ἔγχος ὃ δ ἐκλίνθη καὶ ἀλεύατο κῆρα μέλαιναν,D,S,D,D,D,A,0.402092694
24458,odyssey,17,556,εἰ δέ κέ σε γνώῃ νημερτέα πάντ ἐνέποντα,D,S,S,D,D,A,0.402016612
19073,odyssey,7,346,Ἀλκίνοος δ ἄρα λέκτο μυχῷ δόμου ὑψηλοῖο,D,D,D,D,S,A,0.401963353
26914,odyssey,23,45,εὗρον ἔπειτ Ὀδυσῆα μετὰ κταμένοισι νέκυσσιν,D,D,D,D,D,A,0.401746171
17880,odyssey,4,824,τὴν δ ἀπαμειβόμενον προσέφη εἴδωλον ἀμαυρόν,D,D,D,S,D,A,0.401698673
