,word,corpus,iliad,odyssey
208,ἀργυρότοξ,2,2,0
209,ὅς,602,375,227
210,ἀμφιβέβηκας,2,2,0
211,Κίλλάν,1,1,0
212,ζαθέην,4,4,0
213,Τενέδοιό,2,2,0
214,ἶφι,17,13,4
215,ἀνάσσεις,10,8,2
216,Σμινθεῦ,1,1,0
217,εἴ,270,147,123
218,ποτέ,41,23,18
219,χαρίεντ,1,1,0
220,νηόν,7,6,1
221,ἔρεψα,2,1,1
222,εἰ,399,236,163
223,κατά,579,319,260
224,πίονα,26,9,17
225,μηρί,11,4,7
226,ἔκηα,2,2,0
227,ταύρων,5,3,2
228,ἠδ,205,119,86
229,αἰγῶν,21,6,15
230,τό,296,190,106
231,μοι,745,312,433
232,κρήηνον,2,2,0
233,ἐέλδωρ,10,6,4
234,τίσειαν,1,1,0
235,Δαναοί,25,23,2
236,ἐμά,15,4,11
237,δάκρυα,22,10,12
238,σοῖσι,8,3,5
239,βέλεσσιν,3,3,0
240,εὐχόμενος,31,25,6
241,τοῦ,228,134,94
242,ἔκλυε,14,10,4
243,Φοῖβος,40,38,2
244,Ἀπόλλων,112,97,15
245,κατ,148,93,55
246,Οὐλύμποιο,24,22,2
247,καρήνων,8,6,2
248,χωόμενος,17,12,5
249,κῆρ,75,43,32
250,τόξ,2,2,0
251,ὤμοισιν,24,18,6
252,ἀμφηρεφέα,1,1,0
253,φαρέτρην,7,3,4
254,ἔκλαγξαν,1,1,0
255,ὀϊστοί,9,5,4
256,ἐπ,395,222,173
257,ὤμων,31,28,3
258,χωομένοιο,4,4,0
259,αὐτοῦ,172,75,97
260,κινηθέντος,1,1,0
261,ἤϊε,9,9,0
262,νυκτί,20,10,10
263,ἐοικώς,27,19,8
264,ἕζετ,17,3,14
265,νεῶν,42,40,2
266,μετά,244,152,92
267,ἰόν,7,5,2
268,ἕηκε,1,1,0
269,δεινή,14,6,8
270,κλαγγή,5,3,2
271,γένετ,28,24,4
272,ἀργυρέοιο,8,2,6
273,βιοῖο,3,2,1
274,οὐρῆας,1,1,0
275,πρῶτον,87,50,37
276,ἐπῴχετο,9,6,3
277,κύνας,23,18,5
278,ἀργούς,1,1,0
279,αὐτάρ,770,361,409
280,αὐτοῖσι,7,5,2
281,βέλος,44,37,7
282,ἐχεπευκές,2,2,0
283,ἐφιείς,1,1,0
284,βάλλ,3,2,1
285,αἰεί,163,84,79
286,πυραί,1,1,0
287,νεκύων,20,9,11
288,καίοντο,2,2,0
289,θαμειαί,4,4,0
290,ἐννῆμαρ,12,7,5
291,ᾤχετο,16,9,7
292,κῆλα,3,3,0
293,τῇ,126,73,53
294,δεκάτῃ,8,3,5
295,ἀγορήν,33,17,16
296,καλέσσατο,3,3,0
297,λαόν,78,70,8
298,τῷ,332,180,152
299,φρεσί,134,66,68
300,θῆκε,38,13,25
301,λευκώλενος,30,24,6
302,Ἥρη,99,96,3
303,κήδετο,4,1,3
304,Δαναῶν,71,63,8
305,ὅτι,42,25,17
306,ῥα,212,147,65
307,θνήσκοντας,1,1,0
308,ὁρᾶτο,3,3,0
309,οἵ,768,582,186
310,ἐπεί,745,367,378
311,οὖν,85,48,37
312,ἤγερθεν,5,2,3
313,ὁμηγερέες,9,6,3
314,γένοντο,13,10,3
315,τοῖσι,142,80,62
316,ἀνιστάμενος,3,3,0
317,μετέφη,14,5,9
318,πόδας,85,64,21
319,ὠκύς,39,38,1
320,Ἀτρεΐδη,49,36,13
321,ἄμμε,13,9,4
322,παλιμπλαγχθέντας,1,1,0
323,ὀΐω,57,32,25
324,ἄψ,110,74,36
325,ἀπονοστήσειν,6,4,2
326,κεν,403,229,174
327,θάνατόν,13,6,7
328,γε,627,333,294
329,φύγοιμεν,5,1,4
330,ὁμοῦ,21,10,11
331,πόλεμός,3,3,0
332,δαμᾷ,1,1,0
333,λοιμός,1,1,0
334,ἄγε,166,74,92
335,τινα,53,29,24
336,μάντιν,3,1,2
337,ἐρείομεν,1,1,0
338,ὀνειροπόλον,1,1,0
339,ὄναρ,4,2,2
340,ἐκ,557,334,223
341,ἐστιν,64,32,32
342,κ,239,129,110
343,εἴποι,11,5,6
344,τι,408,208,200
345,τόσσον,36,18,18
346,ἐχώσατο,3,2,1
347,εἴτ,3,3,0
348,γ,411,219,192
349,εὐχωλῆς,2,2,0
350,ἐπιμέμφεται,2,2,0
351,ἑκατόμβης,4,2,2
352,αἴ,158,95,63
353,κέν,102,49,53
354,πως,72,41,31
355,ἀρνῶν,13,10,3
356,κνίσης,7,3,4
357,τελείων,2,2,0
358,βούλεται,5,3,2
359,ἀντιάσας,1,1,0
